Category,Count,Percentage
⚠️ UNDERPERFORMING - Review Content,123493,89.8
📉 DEEP RANKING - Consider Prune/Merge,13762,10.0
🔍 LOW VISIBILITY - Build Authority,223,0.2
👀 VISIBLE BUT UNDERPERFORMING - Improve Content,12,0.0
